시도별,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03
전국,93.07,93.707,94.072,94.163,94.345,94.527,94.982,95.62,95.529,95.347,95.438,95.802,96.184,96.549,96.576,96.567,96.74,96.603,96.385,96.831,97.523,97.341,96.995,97.168,97.751,98.078,97.987,97.851,97.851,97.732,97.942,98.288,98.479,98.179,98.16,98.279,98.807,99.071,99.253,99.317,99.481,99.353,99.499,99.672,99.608,99.308,99.108,99.098,99.77,99.71,99.72,99.75,100.03,100.05,100.23,100.37,100.11,100.11,99.92,100.22,100.39,100.82,100.56,100.75,100.81,100.79,100.6,100.86,101.46,101.6,101.45,101.56,102.64,102.92,102.85,102.72,102.83,102.61,102.78,103.37,103.49,103.39,102.62,102.99,103.42,104.21,104.1,104.29,104.34,104.13,103.93,104.85,105.65,105.46,104.71,104.35,104.24,104.69,104.49,104.87,105.05,104.88,104.56,104.81,105.2,105.46,104.87,105.12,105.79,105.8,105.54,104.95,104.71,104.87,104.86,105.5,106.2,105.61,105.5,105.67,106.47,107,107.16
　　　서울특별시,92.039,92.58,92.94,93.03,93.211,93.391,93.842,94.473,94.382,94.292,94.292,94.563,95.086,95.482,95.608,95.644,95.744,95.644,95.59,96.158,96.807,96.564,96.185,96.384,96.907,97.177,97.087,97.069,97.069,96.925,97.114,97.465,97.691,97.438,97.429,97.574,98.114,98.313,98.538,98.727,98.881,98.782,98.989,99.232,99.133,98.845,98.727,98.845,99.49,99.56,99.47,99.63,99.82,99.83,100.26,100.51,100.36,100.33,100.18,100.55,100.63,101.03,100.71,100.88,100.92,100.87,100.76,101.15,101.72,101.86,101.73,101.89,102.77,103,103.07,102.98,103.12,102.97,103.28,103.89,103.78,103.52,102.86,103.16,103.57,104.32,104.31,104.55,104.56,104.19,104.15,105.04,105.7,105.33,104.77,104.49,104.54,105.07,104.86,105.26,105.31,105.17,104.91,105.21,105.57,105.8,105.24,105.44,106.09,106.06,105.97,105.55,105.32,105.51,105.42,106.05,106.51,105.96,105.88,105.91,106.6,107.04,107.13
　　　부산광역시,92.566,93.288,93.558,93.829,93.919,94.009,94.46,95.182,95.002,94.912,95.002,95.363,95.696,96.202,96.265,96.319,96.527,96.31,96.084,96.481,97.248,97.149,96.869,97.014,97.717,98.051,97.997,97.735,97.735,97.546,97.708,98.078,98.349,98.06,98.042,98.232,98.818,99.116,99.26,99.197,99.269,99.107,99.179,99.459,99.468,99.17,99.026,98.944,99.92,99.82,99.86,99.9,100.09,100.1,100.11,100.21,99.95,100.08,99.81,100.14,100.34,101.12,100.86,101.09,101.16,101.04,100.73,101.01,101.63,101.82,101.61,101.78,102.64,102.92,102.85,102.76,103,102.59,102.69,103.21,103.57,103.69,102.84,103.08,103.58,104.43,104.46,104.76,104.59,104.43,104.13,104.98,105.96,106.15,105.15,104.79,104.89,105.26,105.08,105.38,105.36,105.29,105.02,105.15,105.76,105.7,105.21,105.39,105.92,105.93,105.63,105.14,104.93,104.97,104.93,105.56,106.1,105.57,105.43,105.61,106.63,107.32,107.38
　　　대구광역시,92.118,92.839,93.471,93.381,93.561,93.651,94.283,95.005,94.914,94.644,94.734,95.005,95.348,95.636,95.961,96.169,96.412,96.268,96.024,96.358,96.99,96.854,96.502,96.692,97.45,97.765,97.829,97.675,97.675,97.522,97.639,98.081,98.262,98.108,98.099,98.199,98.677,98.993,99.2,99.2,99.444,99.335,99.516,99.678,99.633,99.344,99.101,99.038,99.88,99.75,99.73,99.73,100.12,100.17,100.22,100.38,100.08,100,99.78,100.16,100.27,100.68,100.55,100.78,100.8,100.84,100.64,100.86,101.6,101.79,101.56,101.67,102.83,103.24,103.05,102.82,102.82,102.59,102.69,103.37,103.64,103.6,102.82,103.29,103.78,104.62,104.39,104.61,104.6,104.39,104.24,105.36,106.07,106.09,105.24,104.82,104.61,105.12,104.94,105.64,105.88,105.76,105.35,105.63,106.05,106.32,105.58,105.75,106.25,106.33,106.09,105.28,104.9,105.08,105.08,105.81,106.81,106.32,106.09,106.28,107.19,107.67,107.68
　　　인천광역시,93.433,93.983,94.166,94.074,94.257,94.532,94.99,95.631,95.357,95.173,95.357,95.723,96.218,96.529,96.41,96.126,96.3,96.337,96.273,96.612,97.207,97.179,96.905,97.124,97.5,97.802,97.628,97.463,97.482,97.445,97.454,97.775,97.986,97.711,97.738,97.793,98.462,98.737,98.957,98.947,99.231,99.085,99.14,99.36,99.286,99.112,98.938,98.966,99.71,99.8,99.83,99.79,100,100.03,100.22,100.34,100.11,100.12,99.86,100.17,100.45,100.78,100.49,100.69,100.63,100.65,100.44,100.68,101.21,101.4,101.36,101.47,102.52,102.75,102.65,102.49,102.62,102.49,102.56,103.11,103.29,103.23,102.54,102.94,103.47,104.27,104.08,104.25,104.34,104.23,103.9,104.68,105.51,105.31,104.71,104.41,104.16,104.55,104.36,104.7,104.83,104.64,104.45,104.64,105.09,105.27,104.76,105.03,105.77,105.79,105.5,105,104.87,105.09,105.15,105.59,106.4,105.81,105.62,105.74,106.51,107.12,107.31
　　　광주광역시,93.48,94.212,94.486,94.577,94.76,94.943,95.401,96.132,96.224,96.041,95.95,96.132,96.544,96.764,96.8,96.782,96.855,96.654,96.398,96.837,97.642,97.34,96.992,97.148,97.751,98.008,97.962,97.916,97.889,97.761,97.998,98.483,98.694,98.355,98.41,98.547,99.087,99.416,99.791,99.873,99.965,99.855,99.974,100.075,100.084,99.663,99.434,99.453,100.08,99.92,99.83,99.77,100.14,100.19,100.12,100.17,99.83,100.12,99.79,100.05,100.11,100.59,100.41,100.58,100.69,100.75,100.59,100.87,101.55,101.71,101.51,101.65,102.77,103.22,103,102.79,102.95,102.79,102.78,103.35,103.48,103.48,102.77,102.96,103.33,104.1,103.82,104.07,104.21,104.12,103.86,104.43,105.33,105.22,104.37,104,103.87,104.22,104.01,104.42,104.75,104.47,104.13,104.36,104.81,105.15,104.65,104.78,105.42,105.53,105.15,104.5,104.49,104.43,104.3,104.96,105.49,104.96,104.71,105.17,106.01,106.45,106.87
　　　대전광역시,94.108,94.935,95.486,95.578,95.578,95.578,96.313,96.957,96.865,96.681,96.865,97.232,97.802,98.004,97.894,97.774,97.921,97.719,97.49,97.83,98.482,98.289,97.903,98.05,98.767,98.932,98.859,98.666,98.73,98.693,98.951,99.272,99.245,98.942,98.831,98.859,99.355,99.723,99.888,99.851,100.155,100.063,100.017,100.035,99.98,99.732,99.429,99.392,99.8,99.7,99.71,99.63,99.95,100.05,100.24,100.4,100.17,100.04,99.99,100.31,100.42,100.77,100.41,100.5,100.63,100.57,100.28,100.44,100.9,101.11,101.03,101.07,102.11,102.4,102.28,102.23,102.31,102.08,102.22,102.65,102.9,102.78,101.93,102.28,102.81,103.65,103.62,103.85,103.9,103.64,103.34,104.29,105.04,104.96,104.15,103.96,103.8,104.19,103.85,104.2,104.42,104.19,103.84,104.06,104.34,104.61,104.03,104.32,105.05,105.01,104.61,104.04,103.86,104.05,104.07,104.7,105.19,104.61,104.49,104.91,105.71,106.26,106.51
　　　울산광역시,93.136,93.683,94.23,94.23,94.595,94.686,95.234,95.599,95.507,95.599,95.872,96.055,96.41,96.602,96.675,96.675,96.867,96.794,96.593,97.049,97.542,97.432,97.076,97.14,98.162,98.372,98.372,98.198,98.189,98.116,98.281,98.7,98.855,98.445,98.408,98.399,99.056,99.348,99.366,99.539,99.649,99.658,99.758,99.904,99.904,99.594,99.485,99.257,99.85,99.78,99.84,99.88,100.09,100.15,100.13,100.36,100.04,99.95,99.77,100.15,100.47,100.77,100.48,100.65,100.74,100.68,100.59,100.9,101.5,101.88,101.58,101.64,102.6,102.93,102.83,102.83,102.93,102.68,102.67,103.09,103.39,103.23,102.43,102.73,103.13,103.9,103.62,104.09,104.01,103.73,103.43,104.24,104.9,104.74,103.81,103.45,103.37,103.51,103.38,103.74,103.74,103.52,103.25,103.46,103.89,104.09,103.42,103.68,104.48,104.49,104.12,103.48,103.28,103.17,103.37,103.94,104.47,103.98,103.86,104.09,105.05,105.54,105.64
　　　경기도,93.185,93.916,94.19,94.281,94.464,94.646,95.195,95.651,95.651,95.56,95.651,96.017,96.528,96.802,96.684,96.611,96.784,96.675,96.455,96.839,97.524,97.305,97.013,97.232,97.771,98.173,97.999,97.835,97.826,97.753,97.981,98.292,98.447,98.145,98.164,98.264,98.739,98.995,99.233,99.297,99.47,99.333,99.488,99.644,99.58,99.26,99.077,99.077,99.74,99.69,99.71,99.74,100.07,100.05,100.27,100.39,100.08,100.12,99.93,100.22,100.42,100.83,100.55,100.74,100.78,100.81,100.66,100.83,101.35,101.47,101.35,101.5,102.68,102.96,102.92,102.74,102.89,102.64,102.79,103.41,103.5,103.4,102.64,103.05,103.43,104.25,104.14,104.29,104.4,104.21,104.01,104.96,105.72,105.45,104.76,104.36,104.18,104.71,104.55,104.89,105.21,105.03,104.71,104.96,105.15,105.52,104.95,105.21,105.87,105.9,105.66,104.95,104.8,105.01,105.01,105.66,106.43,105.81,105.76,105.86,106.61,107.2,107.4
　　　강원도,94.389,95.313,95.959,95.959,95.959,96.329,96.698,97.345,97.068,96.975,96.975,97.345,97.511,97.954,98.268,98.167,98.508,98.241,97.705,98.056,98.73,98.693,98.351,98.49,99.109,99.506,99.33,99.201,99.127,98.979,99.164,99.515,99.663,99.284,99.238,99.349,99.755,99.931,100.162,100.051,100.245,100.06,100.18,100.282,100.189,99.838,99.441,99.432,100.02,99.73,99.87,99.85,100.15,100.25,100.13,100.25,99.96,99.98,99.76,100.05,100.27,100.52,100.3,100.5,100.68,100.8,100.36,100.56,101.22,101.5,101.33,101.39,102.48,102.72,102.61,102.6,102.78,102.56,102.68,103.24,103.42,103.25,102.44,102.84,103.19,103.96,103.99,104.23,104.29,104.11,103.83,104.81,105.69,105.66,104.95,104.55,104.46,104.92,104.87,105.28,105.51,105.42,105.05,105.3,105.77,105.98,105.45,105.77,106.65,106.54,106.21,105.51,105.17,105.29,105.33,105.9,106.76,106.07,105.98,106.2,107.02,107.6,108.01
　　　충청북도,94.11,95.12,95.304,95.395,95.487,95.579,96.038,96.681,96.773,96.405,96.589,96.956,97.067,97.489,97.654,97.7,97.792,97.663,97.342,97.709,98.389,98.196,97.911,98.122,98.563,99.041,98.848,98.82,98.857,98.747,99.004,99.233,99.417,99.187,98.967,99.068,99.702,99.94,100.326,100.234,100.363,100.252,100.537,100.546,100.454,100.041,99.793,99.656,100.11,99.99,99.95,99.83,100.16,100.18,100.14,100.16,100,99.9,99.64,99.93,100.02,100.44,100.2,100.32,100.44,100.46,100.23,100.49,101.09,101,101.03,101.08,102.27,102.77,102.55,102.35,102.43,102.18,102.3,102.81,103.1,103.08,102.37,102.7,103.19,103.98,103.88,104.11,104.14,103.96,103.71,104.53,105.53,105.24,104.53,104.29,104.16,104.43,104.11,104.55,104.83,104.66,104.19,104.45,105.15,105.34,104.79,105.03,105.74,105.64,105.37,104.68,104.5,104.6,104.62,105.25,105.98,105.18,105.19,105.42,106.49,106.97,107.34
　　　충청남도,94.125,95.046,95.322,95.322,95.506,95.691,96.151,96.888,96.704,96.427,96.427,96.704,97.164,97.533,97.929,98.03,98.334,98.232,97.929,98.168,98.932,98.711,98.352,98.546,99.117,99.292,99.301,99.153,99.163,99.071,99.19,99.577,99.844,99.384,99.356,99.402,99.992,100.13,99.706,99.734,99.936,99.817,99.844,99.89,99.863,99.715,99.402,99.374,100.06,99.74,99.78,99.75,100.08,100.2,100.28,100.37,99.98,99.95,99.75,100.05,100.14,100.59,100.34,100.49,100.59,100.52,100.35,100.57,101.23,101.14,101.1,101.18,102.3,102.6,102.47,102.34,102.52,102.39,102.6,103.14,103.26,103.13,102.26,102.65,103.1,103.81,103.74,103.9,103.96,103.78,103.52,104.34,105.31,105.19,104.42,104.19,103.82,104.33,103.49,103.88,104.1,103.88,103.57,103.9,104.43,104.52,103.92,104.25,105,105.02,104.74,104.22,103.77,103.87,104.07,104.75,105.7,105.11,104.97,105.12,105.82,106.31,106.7
　　　전라북도,94.011,94.835,95.11,95.018,95.018,95.293,95.935,96.668,96.576,96.21,96.393,96.759,97.731,98.134,97.456,97.483,97.648,97.447,97.08,97.52,98.345,98.207,97.868,97.923,98.629,98.894,99.096,98.83,98.876,98.729,98.858,99.068,99.298,98.977,98.913,98.821,99.352,99.884,100.095,100.14,100.305,100.095,100.388,100.415,100.379,100.012,99.701,99.582,100.05,99.85,99.95,99.86,100.14,100.24,100.18,100.16,99.92,99.99,99.71,99.94,100.06,100.4,100.22,100.38,100.48,100.53,100.16,100.31,101.05,101.08,100.87,100.92,102.2,102.47,102.49,102.1,102.26,102.02,102.07,102.7,103,102.91,102.01,102.59,103.14,104.02,103.74,103.81,103.98,103.7,103.42,104.44,105.52,105.46,104.56,104.03,103.93,104.33,104.15,104.5,104.78,104.48,103.98,104.23,104.99,105.09,104.47,104.78,105.64,105.59,105.27,104.5,104.09,104.26,104.21,104.96,105.97,105.26,105.16,105.52,106.33,106.99,107.18
　　　전라남도,93.994,95.095,95.278,95.462,95.37,95.553,96.012,96.837,96.654,96.379,96.47,96.654,97.186,97.598,97.497,97.635,97.589,97.296,96.956,97.763,98.506,98.35,98.029,98.176,98.552,98.9,98.919,98.946,98.946,98.836,99.001,99.276,99.57,99.166,99.047,99.322,99.808,100.01,100.147,100.212,100.34,100.12,100.212,100.34,100.23,99.845,99.616,99.515,100.01,99.74,99.92,99.84,100.2,100.11,100.22,100.33,99.97,99.87,99.71,100.07,100.43,100.94,100.66,100.85,100.84,100.77,100.52,100.75,101.3,101.66,101.29,101.28,102.9,103.25,103.22,103.07,103.02,102.64,102.71,103.36,103.58,103.49,102.73,102.98,103.4,104.33,104.18,104.38,104.55,104.23,104.08,104.96,106.03,105.91,104.91,104.54,104.34,104.65,104.56,104.97,105.23,104.94,104.55,104.85,105.4,105.77,105.06,105.36,106.09,105.94,105.72,105.17,104.89,104.98,105.09,105.96,106.84,106.17,105.69,106.02,106.99,107.51,107.88
　　　경상북도,94.277,94.921,95.381,95.473,95.657,95.657,96.117,96.761,96.669,96.485,96.577,96.761,97.129,97.561,97.681,97.671,98.067,97.874,97.395,97.662,98.453,98.453,97.911,98.049,98.582,98.913,99.042,98.803,98.729,98.628,98.738,99.171,99.437,99.226,99.088,99.134,99.658,100.026,100.035,100.035,100.182,99.98,100.118,100.247,100.247,99.879,99.603,99.511,100.08,99.87,99.87,99.81,100.19,100.19,100.21,100.24,99.97,99.89,99.71,99.96,100.19,100.54,100.26,100.42,100.53,100.54,100.3,100.46,101.16,101.34,101.24,101.24,102.36,102.66,102.59,102.44,102.41,102.16,102.33,102.79,103.05,103.02,102.24,102.56,103.05,103.92,103.66,103.77,103.76,103.64,103.58,104.46,105.46,105.26,104.43,103.95,103.59,104.01,103.93,104.36,104.54,104.38,104,104.17,104.5,104.81,104.24,104.56,105.12,105.22,104.77,103.93,103.5,103.61,103.56,104.2,105.15,104.51,104.4,104.69,105.63,106.28,106.1
　　　경상남도,93.218,93.857,94.404,94.495,94.587,94.769,95.316,95.955,95.864,95.772,95.955,96.228,96.219,96.557,96.748,96.785,96.967,96.748,96.356,96.776,97.551,97.414,97.058,97.131,97.752,98.135,98.08,97.834,97.797,97.743,98.034,98.427,98.655,98.308,98.262,98.39,99.156,99.339,99.485,99.539,99.658,99.503,99.685,99.822,99.722,99.339,99.129,99.047,99.94,99.87,99.89,99.8,100.01,100.07,100.07,100.32,100.05,100,99.9,100.09,100.34,100.84,100.64,100.77,100.82,100.72,100.44,100.73,101.42,101.62,101.38,101.4,102.52,102.73,102.54,102.28,102.35,102.16,102.26,102.76,102.99,103.09,102.23,102.64,103.03,103.77,103.57,103.67,103.75,103.6,103.36,104.36,105.21,105.1,104.29,103.82,103.71,104.09,103.77,104.14,104.27,104.09,103.75,103.79,104.29,104.51,103.92,104.22,104.95,105.05,104.74,104.27,104,104.14,104.05,104.72,105.42,104.94,104.83,105.17,106.05,106.44,106.57
　　　제주특별자치도,94.214,95.132,95.224,95.408,95.592,95.775,96.051,96.51,96.418,96.234,96.143,96.418,96.501,96.776,96.684,96.749,96.785,96.519,96.262,96.905,97.593,97.676,97.345,97.355,97.906,98.255,98.034,97.906,98.117,98.172,98.383,98.521,98.649,98.512,98.328,98.457,98.952,99.191,99.513,99.448,99.558,99.274,99.467,99.889,99.678,99.531,99.072,98.805,99.61,99.32,99.61,99.73,100.19,100.29,100.4,100.48,100.11,100.22,100,100.05,100.2,100.51,100.63,101,101.18,101.25,101.31,101.37,101.79,102.2,102.07,102.02,103.19,103.43,103.23,103.35,103.34,103.22,103.5,103.95,104.32,104.49,103.59,103.79,104.49,105.31,104.98,105.2,105.5,105.27,104.99,105.66,106.7,106.59,105.47,104.89,104.91,105.3,105.11,105.56,106.03,105.8,105.55,105.91,106.5,106.71,105.85,105.93,106.86,106.69,106.03,105.35,105.18,105.52,105.64,106.17,107.13,106.99,106.48,106.55,107.35,107.96,108.24
